variable;parameter;units;description;value
;compactionMax;h-1;maximal compaction;0.0005
;sedThreshold;g/m²;sediment stock threshold;750
SPM;initBent;g/m²;initial content;1000
POM1;initBent;gC/gsed;initial content;0.0003
POM2;initBent;gC/gsed;initial content;0.0012
POM3;initBent;gC/gsed;initial content;0.0085
BSI;initBent;gSi/gsed;initial content;0.00504
PIP;initBent;gP/gsed;initial content;0.000465
AFC;initBent;knb/gsed;initial content;5
SPM;vs;m/h;sinking rate;0.5
POM1;vs;m/h;sinking rate;0.1
POM2;vs;m/h;sinking rate;0.1
POM3;vs;m/h;sinking rate;0.1
